unique_id,country,district,site,year,season,plant_date,harvest_date,field_latitude,field_longitude,plot_acres,hybrid,flood,drought,pest_disease,mlnd,msv,intercrop,dap_kg_pa,urea_kg_pa,weed,yield_kg_pa,yield_kg_ph,district_season_median_yield,stress_threshold,stress_label,stress_severity
0b85cc69,Uganda,kamuli,buganza,2020,lr,10-Mar-20,,0.8637283333,33.17319167,0.123782672,0.0,0.0,1.0,1.0,,,1.0,0.0,0.0,,764.388,1888.8409,710.993255,497.6952785,0,None
85fcb326,Uganda,kamuli,buganza,2020,lr,26-Mar-20,,0.8637416667,33.1733,0.2589846849,1.0,0.0,0.0,1.0,,,0.0,9.65308,28.959242,,1225.2689,3027.7007,710.993255,497.6952785,0,None
5b1ef5c5,Uganda,iganga,kalalu,2020,lr,12-Apr-20,,0.6985383333,33.62067333,1.078396559,1.0,0.0,1.0,1.0,,,0.0,9.2730265,0.0,,674.46002,1666.6244,505.845,354.0915,0,None
cc05afc0,Uganda,iganga,kalalu,2020,lr,28-Mar-20,,0.69864,33.62065833,1.03593874,1.0,0.0,1.0,0.0,,,0.0,0.0,28.959242,,803.73151,1986.0608,505.845,354.0915,0,None
fd26e0bb,Uganda,kamuli,kasozi,2020,lr,23-Mar-20,,1.045795,32.9912,0.5391982794,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,,22.482,55.554146,710.993255,497.6952785,1,Extreme
90b50788,Uganda,kamuli,buganza,2020,lr,6-Mar-20,,0.8481766667,33.1668,0.5179693699,1.0,0.0,0.0,1.0,,,0.0,12.066351,28.959242,,938.62354,2319.3857,710.993255,497.6952785,0,None
a1f4c30d,Uganda,kamuli,buganza,2020,lr,7-Mar-20,,0.856685,33.17621,1.693338633,0.0,0.0,0.0,1.0,,,1.0,0.0,0.0,,708.18304,1749.9557,710.993255,497.6952785,1,None
495b171f,Uganda,kamuli,buganza,2020,lr,10-Mar-20,,0.8496883333,33.16016667,0.08746568114,0.0,0.0,0.0,1.0,,,0.0,0.0,0.0,,432.7785,1069.4174,710.993255,497.6952785,1,Mild
a9c1f280,Uganda,kamuli,buganza,2020,lr,15-Mar-20,,0.864585,33.17779333,0.635002017,1.0,0.0,0.0,0.0,,,1.0,0.0,0.0,,1079.136,2666.5989,710.993255,497.6952785,0,None
6e34faa5,Uganda,kamuli,buganza,2020,lr,18-Mar-20,,0.8512216667,33.16702833,0.4233346581,0.0,0.0,0.0,1.0,,,0.0,0.0,0.0,,1056.6539,2611.0447,710.993255,497.6952785,0,None
a45ff114,Uganda,kamuli,buganza,2020,lr,14-Feb-20,,0.963525,33.23325833,1.693338633,0.0,0.0,0.0,0.0,,,1.0,0.0,0.0,,899.28003,2222.166,710.993255,497.6952785,0,None
95cd1ae6,Uganda,kamuli,buganza,2020,lr,20-Feb-20,,0.84853,33.17549333,0.4233346581,0.0,0.0,0.0,1.0,,,1.0,0.0,0.0,,1483.812,3666.5737,710.993255,497.6952785,0,None
604fa1f5,Uganda,kamuli,buganza,2020,lr,24-Mar-20,,0.8629616667,33.17365,0.2798901796,0.0,0.0,1.0,0.0,,,1.0,0.0,0.0,,702.5625,1736.067,710.993255,497.6952785,1,None
4bdf7f7f,Uganda,kamuli,buganza,2020,lr,20-Mar-20,,0.86442,33.17502333,0.4233346581,0.0,0.0,0.0,1.0,,,1.0,,0.0,,635.11652,1569.4047,710.993255,497.6952785,1,None
fbb8ea80,Uganda,kamuli,buganza,2020,lr,15-Mar-20,,0.8639333333,33.177195,0.635002017,0.0,1.0,1.0,0.0,,,0.0,0.0,0.0,,382.194,944.42047,710.993255,497.6952785,1,Mild
2ec5a98e,Uganda,kamuli,buganza,2020,lr,5-Mar-20,,0.8486483333,33.16110333,0.1554945409,0.0,0.0,1.0,0.0,,,1.0,0.0,0.0,,292.26599,722.20386,710.993255,497.6952785,1,Severe
ca56e519,Uganda,kamuli,buganza,2020,lr,12-Mar-20,,0.8494916667,33.15735333,0.8466693163,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,432.7785,1069.4174,710.993255,497.6952785,1,Mild
7fa2181b,Uganda,kamuli,bulange,2020,lr,5-Mar-20,,0.8915366667,33.26727,1.058336616,0.0,0.0,0.0,1.0,,,1.0,0.0,0.0,,854.31598,2111.0576,710.993255,497.6952785,0,None
2db16834,Uganda,kamuli,bulange,2020,lr,7-Mar-20,,0.89209,33.27356833,0.8466693163,1.0,0.0,0.0,1.0,,,1.0,0.0,0.0,,831.83398,2055.5034,710.993255,497.6952785,0,None
1bfe3746,Uganda,kamuli,bulange,2020,lr,3-Mar-20,,0.8909266667,33.26197833,0.4233346581,1.0,0.0,0.0,0.0,,,1.0,0.0,0.0,,899.28003,2222.166,710.993255,497.6952785,0,None
e25b00de,Uganda,kamuli,bulange,2020,lr,10-Mar-20,,0.8966266667,33.26914167,0.8466693163,0.0,1.0,1.0,0.0,,,1.0,0.0,0.0,,314.74799,777.758,710.993255,497.6952785,1,Severe
