variable,category,description,Kenya 2020 LR,Comment,Kenya 2019 LR,Comment,Kenya 2018 LR,Comment,Kenya 2017 LR,Comment,Kenya 2016 LR,Comment,Tanzania 2020 LR,Comment,Tanzania 2019 LR,Comment,Tanzania 2018 LR,Comment,Tanzania 2017 LR,Comment,Tanzania 2016 LR,Comment,Rwanda 2020 B,Comment,Rwanda 2020 A,Comment,Rwanda 2019 B,Comment,Rwanda 2019 A,Comment,Rwanda 2018 B,Comment,Rwanda 2018 A,Comment,Rwanda 2017 B,Comment,Rwanda 2017 A,Comment,Rwanda 2016 B,Comment,Rwanda 2016 A,Comment,Uganda 2020 LR,Comment,Burundi 2015 A,Comment,Burundi 2015 B,Comment,Burundi 2016 A,Comment,Burundi 2016 B,Comment,Burundi 2017 A,Comment,Burundi 2017 B,Comment,Burundi 2019 A,Comment,Burundi 2019 B,Comment,Burundi 2020 A,Comment,Burundi 2020 B,Comment,Malawi 2020 LR,Comment,Zambia 2020 LR,Comments,Zambia 2019 LR,Comment,Zambia 2018 LR,Comment
plants_sqm_spacing,practice,count of plants per sq. meter at harvest in crop cut box,x,,,,,,,,,,x,,,,,,,,,,x,,x,,,,x,,x,,x,,,,,,,,,,,no data,,,,,,,,,,,,,,,,,,,,,X,,x,,x,,x,
plot_acres,field characteristics,"self reported acres of plot type but with help of enumerator (e.g. maize 1AF program land, maize 1AF client non-program land or non1AF farmer maize land) In Rwanda and in some seasons in TZ this is the estimate of the plot harvested",x,,x,,x,,x,,x,,x,,x,,x,--,x,size of harvested plot,x,--,x,,x,,x,size of plot harvested,x,size of plot harvested,x,size of plot harvested,x,size of plot harvested,x,size of plot harvested,x,size of plot harvested,x,size of plot harvested,x,size of plot harvested,x,size of plot harvested,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,X,,x,,x,,x,
plot_hectares,field characteristics,"hectares of the plot (estimated with help from enumerator, but not measured)",,Only collect acreage data,x,,x,,x,,x,,x,,x,,x,--,x,size of harvested plot,x,--,x,,x,,x,size of plot harvested,x,size of plot harvested,x,size of plot harvested,x,size of plot harvested,x,size of plot harvested,x,size of plot harvested,x,size of plot harvested,x,size of plot harvested,,per acre data collected instead,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,,,x,,x,,x,
prev_season_can_kg,field characteristics,self reported kg of CAN applied last season (do not have fertilizer rate),,,,,x,,x,,,,,not collected in tz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data not collected,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prev_season_dap_kg,field characteristics,self reported kg of DAP applied last season (do not have fertilizer rate),,,,,x,,x,,,,,not collected in tz,,,,,,,,,x,,x,,x,,x,,x,,x,,,,,,,,,,,data not collected,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prev_season_lime_kg,field characteristics,self reported kg of lime applied last season (do not have fertilizer rate),x,,,,,,x,,,,,not collected in tz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data not collected,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prev_season_npk_kg,field characteristics,self reported kg of NPK applied last season (do not have fertilizer rate),,,,,,,x,,,,,not collected in tz,,,,,,,,,x,,x,,x,,x,,x,,x,,,,,,,,,,,data not collected,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prev_season_urea_kg,field characteristics,self reported kg of urea applied last season (do not have fertilizer rate),,,,,x,,x,,,,,not collected in tz,,,,,,,,,x,,x,,x,,x,,x,,x,,,,,,,,,,,data not collected,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prev_season_yield,field characteristics,self reported yield last season (do not have per acre/ hectare rate),,,,,,,,,x,,,not collected in tz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data not collected,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rabbits,demographics,# of rabbits owned,,,x,,,,x,,,,,not collected in tz,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,data not collected,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
radio_binary,demographics,"1= farmer owns any radios, 0 = not",x,,,,x,,,,,,,,,,,,,,,,x,,x,,,,,,,,,,,,,,,,,,x,,,,,,,,x,,x,,x,,x,,x,,x,,,,X,,x,,x,,x,
row_spacing,practice,average spacing between rows (measured in cm) for those who row plant,,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,,,x,,x,,x,,x,,x,,x,,x,,,data not collected,,,,,,,,,,,,,,,,,,,,,X,,x,,x,,x,
season,season,"long rains or short rains, or 'A' or 'B' season (all data are long rains)",x,,,,,,,,,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,X,,x,,x,,x,
seed_depth_est,practice,"depth that the seed is buried. This is estimated by farmer using commonly known tools (e.g cell phone, finger, pen)",,,,,,,x,,,,,not collected in tanzania,,,,,,,,,,Not collected in Rwanda,,,,,,,,,,,,,,,,,,,,data not collected,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seed_depth_num,practice,depth that the seed is buried. This is estimated by farmer in cms,,,,,x,,,,,,,not collected in tanzania,,,,,,,,,,Not collected in Rwanda,,,,,,,,,,,,,,,,,,,,data not collected,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seed_kg,inputs,"self reported kg of seed for each land type (e.g. client program land, client nonprogram land and non client, except for 2017)",,We don't collect consolidated seed data. Please refer to the local seed and hybrid seed data.,,,,,,,,,x,,x,,x,,x,refers to the harvested plot,x,,x,,x,,x,,x,,,,,,x,,,,,,,,x,total of localseed and hybridseed,x,"total of localseed and hybridseed
Maize has been excluded because no way of knowing if it is hybrid or local",x,,,,x,,x,total of localseed and hybridseed,x,total of localseed and hybridseed,x,total of localseed and hybridseed,x,total of localseed and hybridseed,x,total of localseed and hybridseed,x,total of localseed and hybridseed,X,,x,,x,,x,
seed_kg_pa,inputs,self reported kgs of seed / self reported field acres,,We don't collect consolidated seed data. Please refer to the local seed and hybrid seed data.,,,,,,,,,x,,x,,x,,x,refers to the harvested plot,x,,x,,x,,x,,x,,,,,,x,,,,,,,,x,,x,"total of localseed and hybridseed
Maize has been excluded because no way of knowing if it is hybrid or local",x,,,,x,,x,total of localseed and hybridseed,x,total of localseed and hybridseed,x,total of localseed and hybridseed,x,total of localseed and hybridseed,x,total of localseed and hybridseed,x,total of localseed and hybridseed,X,,x,,x,,x,
seed_kg_ph,inputs,self reported kgs of seed / self reported field acres,,Only collect acreage data,,,,,,,,,x,,x,,x,,x,refers to the harvested plot,x,,x,,x,,x,,x,,,,,,x,,,,,,,,,per acre data collected instead,x,"total of localseed and hybridseed
Maize has been excluded because no way of knowing if it is hybrid or local",x,,,,x,,x,total of localseed and hybridseed,x,total of localseed and hybridseed,x,total of localseed and hybridseed,x,total of localseed and hybridseed,x,total of localseed and hybridseed,x,total of localseed and hybridseed,X,,x,,x,,x,
seed_type,inputs,self reported maize seed variety,x,,x,,x,,x,,x,,x,"Some farmers reported 2 seeds used across all fields of interest, don't have any way to clearly delinate 1 vs 2, so just let Stat split multiple choices",x,data only for 1AF farmers,x,,,Not available,x,,x,,x,,,,,,,,,,,,,,x,,x,,x,,,,,,x,,,,x,Only Hybrid vs Local,,,x,Only Hybrid vs Local,,,x,Only Hybrid vs Local,,,,,x,,x,,x,
sheep,demographics,# of sheep owned,,,x,,,,x,,,,x,,x,,x,,x,,,,x,,x,,,,,,,,,,,,,,x,,x,,,data not collected,,,,,,,,,,,,,,,,,,,,,X,,x,,x,,x,
site,location,"Name of the One Acre Fund ""site""",x,,,,,,,,,,x,,x,,x,,x,,x,,x,,x,,x,,x,some values,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,X,,x,,x,,x,
site_latitude,location,"latitude of site where the farmer picked thier inputs. Below are the different site radius estimates in each country Country Radius in Km
Kenya 2.29
Tanzania 2.9
Malawi 5.31
Rwanda 2.05
Burundi 2.05
Zambia 5.6
Uganda 2.7",,,x,,x,,x,,x,,,,x,,x,,x,,x,,,,,,x,,x,,x,,x,,x,,x,,x,,x,,,data not collected,,,,,,,,,,,,,,,,,,,,,,,,,,,,Can we use this from other data source?
site_longitude,location,"longitude of site where the farmer collected there inputs. Below are the different site radius estimates in each country Country Radius in Km
Kenya 2.29
Tanzania 2.9
Malawi 5.31
Rwanda 2.05
Burundi 2.05
Zambia 5.6
Uganda 2.7",,,x,,x,,x,,x,,,,x,,x,,x,,x,,,,,,x,,x,,x,,x,,x,,x,,x,,x,,,data not collected,,,,,,,,,,,,,,,,,,,"
",,,,,,,,,
slope,field characteristics,"Description of the position of the field on the slope (e.g. midslope, shoulder, footslope, hilltop, valley)",x,,x,,x,,x,,,,,Shorted survey due to covid and deprioritized this data,x,,,,,,,,x,,x,,x,,x,,x,,x,,,,,,,,,,,data not collected in lr2020,,,,,,,,,,,,,,,,,x,,x,,X,,x,,x,,,
slope_angle_des,field characteristics,"Slope of field estimated qualitatively by enumerators (flat, gentle, medium, steep, very steep)",,,x,,,,,,,,,Shorted survey due to covid and deprioritized this data,,,,,,,,,,,,,x,,x,,x,,x,,x,,x,,,,,,,data not collected in lr2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
slope_angle_num,field characteristics,Estimated by enumerator or by using a climometr.,x,,,% angle,,,x,,,,,Shorted survey due to covid and deprioritized this data,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no data,,,,,,,,,,,,,,,,,x,,x,,X,,x,,x,,,
stemborer,field characteristics,Farmer reported having stemborer that season,x,,x,,x,,x,,,,x,Only collected on the subset of farmers who reported using pesticide,,,x,,,,,,,,,,,,,,x,,x,,,,,,,,,,,data not collected,,,,,,,,,,,,,,,,,,,,,,,,,,,,
striga,field characteristics,farmer described presence of striga weed that season,x,,,,,,,,,,,Only collected on the subset of farmers who reported using pesticide & no farmers reported,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
termites,field characteristics,farmer described presence of termites that season,,,,,,,,,,,,Only collected on the subset of farmers who reported using pesticide & no farmers reported,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data not collected.,,,,,,,,,,,,,,,,,,,,,,,,,x,,x,
total_acres_owned,demographics,total acres that farmers self reports owning,x,,x,,,,x,,,,,,x,,x,,x,,x,,x,,x,,x,,x,,x,,,,x,,x,,x,,x,,x,,,,,,,,,,x,total acres cultivated (not owned),x,total acres cultivated (not owned),x,total acres cultivated (not owned),x,total acres cultivated (not owned),x,total acres cultivated (not owned),x,total acres cultivated (not owned),x,,,,,,,
unique_id,id,uniquely identifies each observation,x,,x,,x,,x,,x,,,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,,,x,,x,,x,
urea_kg,inputs,"reported kg of urea (unless othewise noted this is the average kg applied to field type, e.g. maize program land, client non-program land, non-client land, on average, which includes the field harvested but also potentially other fields)",x,,x,,x,,,,,,,,,Not collected this year,x,kgs on field harvested,x,kgs on field harvested,x,"average kg applied to field type, e.g. maize program land, on average, which includes the field harvested but also potentially other fields",x,,x,,x,amt estimated in crop cut box,x,amt estimated in crop cut box,x,amt estimated in crop cut box,x,amt estimated in crop cut box,,,x,amt estimated in crop cut box,,,x,amt estimated in crop cut box,x,,,,x,,,,x,,x,,x,,x,,x,,x,"Decrease of fertilizer use from 2020A on because the government forbad the use of use of DAP, Urea or NPK to replace them by domestically produced blends",x,"Decrease of fertilizer use from 2020A on because the government forbad the use of use of DAP, Urea or NPK to replace them by domestically produced blends",X,,x,,x,,,
urea_kg_pa,inputs,"reported kg of urea (unless othewise noted this is the average kg applied to field type, e.g. maize program land, client non-program land, non-client land, on average, which includes the field harvested but also potentially other fields) / self reported field type acres",x,,x,,x,,,,,,,,,Not collected this year,x,pertains to harvested field,x,pertains to harvested field,x,pertains to field type,x,,x,,x,estimated from what was applied in crop cut box,x,estimated from what was applied in crop cut box,x,estimated from what was applied in crop cut box,x,estimated from what was applied in crop cut box,,,x,estimated from what was applied in crop cut box,,,x,estimated from what was applied in crop cut box,x,,,,x,,,,x,,x,,x,,x,,x,,x,"Decrease of fertilizer use from 2020A on because the government forbad the use of use of DAP, Urea or NPK to replace them by domestically produced blends",x,"Decrease of fertilizer use from 2020A on because the government forbad the use of use of DAP, Urea or NPK to replace them by domestically produced blends",X,,x,,x,,,
urea_kg_ph,inputs,"reported kg of urea (unless othewise noted this is the average kg applied to field type, e.g. maize program land, client non-program land, non-client land, on average, which includes the field harvested but also potentially other fields) / field type hectares",,Only collect acreage data,x,,x,,,,,,,,,Not collected this year,x,pertains to harvested field,x,pertains to harvested field,x,pertains to field type,x,,x,,x,estimated from what was applied in crop cut box,x,estimated from what was applied in crop cut box,x,estimated from what was applied in crop cut box,x,estimated from what was applied in crop cut box,,,x,estimated from what was applied in crop cut box,,,x,estimated from what was applied in crop cut box,,per acre data collected instead,,,x,,,,x,,x,,x,,x,,x,,x,"Decrease of fertilizer use from 2020A on because the government forbad the use of use of DAP, Urea or NPK to replace them by domestically produced blends",x,"Decrease of fertilizer use from 2020A on because the government forbad the use of use of DAP, Urea or NPK to replace them by domestically produced blends",X,,x,,x,,,
urea_method,practice,"self reported method of urea application (broadcast, circle, furrrow next to hole, hole)",,,,,,,,,,,,,,,,,,,,,x,,x,,,,,,,,,,,,,,,,,,,data not collected in lr2020,,,,,,,,,,,,,,,,,,,,,X,only available for oaf,x,,x,,x,
weed,practice,number of times the farmer reported weeding the field,x,,x,options 0-5,x,options 0-3,x,options 0-3,,,,,x,"pertains to field type (this year it was only binary, 1= weeded and 0 = not weeded",x,pertains to harvested field,x,pertains to harvested field,,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,,data not collected in lr2020,,,,,,,,,,,,,x,,x,,x,,x,,X,only available for oaf,,,,,x,
year,year,calendar year,x,,,,,,,,,,,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,X,,x,,x,,x,
yield_kg_pa,yield,"yield per acre (as estimated from 2 randomly placed crop cuts, generally 6 x6 meters (but different somewhat by year)",x,,x,6 x6 m harvest boxes (placed diagnoally),x,6 x6 m harvest boxes (placed diagnoally),x,8 x 5 meter harvest boxes placed perpedicular to rows,x,8 x 5 meter harvest boxes placed perpedicular to rows,X,* yields for OAFO fields as only harvested with OAF and control farmers in AEZs at risk of insurance payouts; 6x6 m harvest boxes (placed diagonally (in some cases were only able to place one box if the farmer had already partially harvested their field or there was no germination),x,"6 x6 m harvest boxes (placed diagnoally) - though other options(3x3m, 9x4m, and 12x3m) are possible if the plot is small or narrow",x,"6 x6 m harvest boxes (placed diagnoally) - though other options(3x3m, 9x4m, and 12x3m) are possible if the plot is small or narrow",x,"8 x 5 meter harvest boxes placed perpedicular to rows - - though other options(3x3m, 9x4m, and 12x3m) are possible if the plot is small or narrow",x,"8 x 5 meter harvest boxes placed perpedicular to rows - - though other options(3x3m, 9x4m, and 12x3m) are possible if the plot is small or narrow",x,,x,,,,,,,,,,,,,,,,,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,X,,x,,x,,x,
yield_kg_ph,yield,"yield per hectare (as estimated from 2 randomly placed crop cuts, generally 6 x6 meters (but different somewhat by year)",,Only collect acreage data,x,6 x6 m harvest boxes (placed diagnoally),x,6 x6 m harvest boxes (placed diagnoally),x,8 x 5 meter harvest boxes placed perpedicular to rows,x,8 x 5 meter harvest boxes placed perpedicular to rows,X,* yields for OAFO fields as only harvested with OAF and control farmers in AEZs at risk of insurance payouts; 6x6 m harvest boxes (placed diagonally (in some cases were only able to place one box if the farmer had already partially harvested their field or there was no germination),x,"6 x6 m harvest boxes (placed diagnoally) (or 3x3 boxes if field was too small). TZ farmers do not immediately shell their maize, so we hired casuals to do this for some of the fields. We then generate a predictive model using shelled and unshelled maize weights, controlling for hybrid seed usage, collected across all AEZs. Once we sample enough farmers (~60 per AEZ) to achieve a reasonably predictive model (R-squared >=0.88) we then use the model coefficients to adjust our unshelled maize weights to predict our shelled maize harvests.",x,"6 x6 m harvest boxes (placed diagnoally) (or 3x3 boxes if field was too small). TZ farmers do not immediately shell their maize, so we hired casuals to do this for some of the fields. We then generate a predictive model using shelled and unshelled maize weights, controlling for hybrid seed usage, collected across all AEZs. Once we sample enough farmers (~60 per AEZ) to achieve a reasonably predictive model (R-squared >=0.88) we then use the model coefficients to adjust our unshelled maize weights to predict our shelled maize harvests.",x,8 x 5 meter harvest boxes placed perpedicular to rows,x,8 x 5 meter harvest boxes placed perpedicular to rows,x,,x,,,,,,,,,,,,,,,,,,,per acre yield data collected instead,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,X,,x,,x,,x,
