variable,category,description,Kenya 2020 LR,Comment,Kenya 2019 LR,Comment,Kenya 2018 LR,Comment,Kenya 2017 LR,Comment,Kenya 2016 LR,Comment,Tanzania 2020 LR,Comment,Tanzania 2019 LR,Comment,Tanzania 2018 LR,Comment,Tanzania 2017 LR,Comment,Tanzania 2016 LR,Comment,Rwanda 2020 B,Comment,Rwanda 2020 A,Comment,Rwanda 2019 B,Comment,Rwanda 2019 A,Comment,Rwanda 2018 B,Comment,Rwanda 2018 A,Comment,Rwanda 2017 B,Comment,Rwanda 2017 A,Comment,Rwanda 2016 B,Comment,Rwanda 2016 A,Comment,Uganda 2020 LR,Comment,Burundi 2015 A,Comment,Burundi 2015 B,Comment,Burundi 2016 A,Comment,Burundi 2016 B,Comment,Burundi 2017 A,Comment,Burundi 2017 B,Comment,Burundi 2019 A,Comment,Burundi 2019 B,Comment,Burundi 2020 A,Comment,Burundi 2020 B,Comment,Malawi 2020 LR,Comment,Zambia 2020 LR,Comments,Zambia 2019 LR,Comment,Zambia 2018 LR,Comment
comp_source_manure,inputs,binary variable (1 if farmer reported that their compost source was from animal manure),x,,,,,,,,,,,no on reported composting,,,x,,,,,,,Not collected in Rwanda,,,,,,,,,,,,,,,,,,,,no data,,,,,,,,,,,,,,,,,,,x,,,,,,,,,
comp_wb_pa,inputs,wheel barrows of compost (assuming that was the easiest unit of measurement -this was only in Kenya) / self reported field size,x,,x,,x,,x,,,,,no on reported composting,,,,,,,,,,Not collected in Rwanda,,,,,,,,,,,,,,,,,,,,no data,,,,,,,,,,,,,,,,,,,,,X,,x,,,,,
compost,inputs,"1= farmer reported using compost, 0 = farmer reported not using compost",x,,x,includes whether it was compost or manure,x,yes/no,x,yes/no,x,yes/no,x,,,,,,,,,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,,No farmer applied compost,,,x,,,,x,,,,,,,,,,x,,x,,X,,x,,,,,
country,location,"Kenya, Tanzania, Rwanda, Burundi",x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,,,,,,,,,,,,,,,,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,X,,x,,x,,x,
cows,demographics,# of cows owned,x,,x,,,,x,,x,,x,,x,,,,x,,x,,x,,x,,,,x,,,,,,,,,,x,,x,,x,,x,,,,,,x,,x,,x,,x,,x,,x,,,,X,,x,,x,,x,
cows_binary,demographics,"1= farmer owns any cows, 0 = not",x,,,,x,,,,,,x,,,,,,,,,,x,,x,,,,,,,,,,,,,,,,,,x,,x,,,,,,x,,x,,x,,x,,x,,x,,,,X,,x,,,,x,
crop,crop,"maize, beans (bush beans), clb (climbing beans), pot (potatoes)",x,Only maize,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,X,,x,,x,,x,
cutworms,field characteristics,farmer reported presence of cutworms that season,x,,x,,x,,,,,,,Only collected on the subset of farmers who reported using pesticide & no farmers reported,,,x,,,,,,,Not collected in Rwanda,,,,,,,,,x,,x,,,,,,,,,data not collected,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dap_kg,inputs,"reported kg of DAP (unless othewise noted this is the average kg applied to field type, e.g. maize program land, client non-program land, non-client land, on average, which includes the field harvested but also potentially other fields)",x,,x,,x,self reports higher than usual this year,x,,x,,,,x,"average kg applied to field type, e.g. maize program land, on average, which includes the field harvested but also potentially other fields",x,kgs on field harvested,x,kgs on field harvested,x,"average kg applied to field type, e.g. maize program land, on average, which includes the field harvested but also potentially other fields",x,,x,,,,,,,,,,,,,,,,,,x,,,,x,,,,x,,x,,x,,x,,x,,x,"Decrease of fertilizer use from 2020A on because the government forbad the use of use of DAP, Urea or NPK to replace them by domestically produced blends",x,"Decrease of fertilizer use from 2020A on because the government forbad the use of use of DAP, Urea or NPK to replace them by domestically produced blends",X,,,,,,,
dap_kg_pa,inputs,"reported kg of DAP (unless othewise noted this is the average kg applied to field type, e.g. maize program land, client non-program land, non-client land, on average, which includes the field harvested but also potentially other fields) / self reported field type acres",x,,x,,x,self reports higher than usual this year,x,,x,,,,x,pertains to field type,x,pertains to harvested field,x,pertains to harvested field,x,pertains to field type,x,,x,,x,pertains to harvested field,x,pertains to harvested field,x,pertains to harvested field,x,pertains to harvested field,x,pertains to harvested field,x,pertains to harvested field,,not collected,x,pertains to harvested field,x,,x,,x,,,,x,,x,,x,,x,,x,,x,"Decrease of fertilizer use from 2020A on because the government forbad the use of use of DAP, Urea or NPK to replace them by domestically produced blends",x,"Decrease of fertilizer use from 2020A on because the government forbad the use of use of DAP, Urea or NPK to replace them by domestically produced blends",X,Includes both dap and NPK,,,,,,
